nm	Abs
466.20	0.021
466.00	0.021
465.80	0.021
465.60	0.021
465.40	0.021
465.20	0.020
465.00	0.021
464.80	0.019
464.60	0.021
464.40	0.020
464.20	0.020
464.00	0.021
463.80	0.020
463.60	0.021
463.40	0.019
463.20	0.021
463.00	0.019
462.80	0.019
462.60	0.018
462.40	0.020
462.20	0.017
462.00	0.017
461.80	0.017
461.60	0.018
461.40	0.018
461.20	0.018
461.00	0.017
460.80	0.017
460.60	0.018
460.40	0.016
460.20	0.016
460.00	0.018
459.80	0.017
459.60	0.016
459.40	0.015
459.20	0.016
459.00	0.015
458.80	0.016
458.60	0.015
458.40	0.014
458.20	0.016
458.00	0.014
457.80	0.015
457.60	0.014
457.40	0.014
457.20	0.015
457.00	0.013
456.80	0.013
456.60	0.013
456.40	0.014
456.20	0.013
456.00	0.012
455.80	0.014
455.60	0.012
455.40	0.012
455.20	0.013
455.00	0.012
454.80	0.013
454.60	0.011
454.40	0.012
454.20	0.012
454.00	0.011
453.80	0.011
453.60	0.010
453.40	0.013
453.20	0.012
453.00	0.012
452.80	0.013
452.60	0.010
452.40	0.009
452.20	0.010
452.00	0.010
451.80	0.009
451.60	0.011
451.40	0.011
451.20	0.010
451.00	0.012
450.80	0.009
450.60	0.010
450.40	0.009
450.20	0.010
450.00	0.010
449.80	0.009
449.60	0.008
449.40	0.009
449.20	0.007
449.00	0.008
448.80	0.010
448.60	0.008
448.40	0.007
448.20	0.008
448.00	0.009
447.80	0.008
447.60	0.006
447.40	0.007
447.20	0.008
447.00	0.008
446.80	0.007
446.60	0.007
446.40	0.006
446.20	0.008
446.00	0.006
445.80	0.007
445.60	0.007
445.40	0.007
445.20	0.006
445.00	0.008
444.80	0.005
444.60	0.006
444.40	0.006
444.20	0.007
444.00	0.007
443.80	0.006
443.60	0.007
443.40	0.006
443.20	0.005
443.00	0.006
442.80	0.006
442.60	0.003
442.40	0.005
442.20	0.005
442.00	0.006
441.80	0.005
441.60	0.004
441.40	0.006
441.20	0.004
441.00	0.003
440.80	0.004
440.60	0.004
440.40	0.003
440.20	0.005
440.00	0.004
439.80	0.003
439.60	0.002
439.40	0.004
439.20	0.004
439.00	0.005
438.80	0.003
438.60	0.002
438.40	0.003
438.20	0.003
438.00	0.002
437.80	0.004
437.60	0.002
437.40	0.004
437.20	0.003
437.00	0.001
436.80	0.003
436.60	0.003
436.40	0.005
436.20	0.000
436.00	0.003
435.80	0.004
435.60	0.003
435.40	0.002
435.20	0.001
435.00	0.003
434.80	0.004
434.60	0.004
434.40	0.000
434.20	0.001
434.00	0.003
433.80	0.002
433.60	0.002
433.40	0.003
433.20	0.001
433.00	0.002
432.80	0.003
432.60	0.002
432.40	0.003
432.20	0.002
432.00	0.001
431.80	0.001
431.60	0.003
431.40	0.002
431.20	0.004
431.00	0.001
430.80	0.003
430.60	0.002
430.40	0.002
430.20	0.002
430.00	0.002
429.80	0.002
429.60	0.002
429.40	0.003
429.20	0.002
429.00	0.004
428.80	0.002
428.60	0.001
428.40	0.002
428.20	0.000
428.00	0.003
427.80	0.000
427.60	0.003
427.40	0.001
427.20	0.001
427.00	0.001
426.80	0.000
426.60	0.002
426.40	0.003
426.20	0.004
426.00	0.000
425.80	0.002
425.60	0.002
425.40	0.001
425.20	0.001
425.00	-0.001
424.80	0.001
424.60	0.003
424.40	0.000
424.20	0.001
424.00	0.001
423.80	0.000
423.60	0.002
423.40	0.001
423.20	0.003
423.00	0.001
422.80	0.003
422.60	0.002
422.40	0.002
422.20	0.000
422.00	-0.007
421.80	-0.006
421.60	-0.005
421.40	-0.006
421.20	-0.006
421.00	-0.006
420.80	-0.006
420.60	-0.007
420.40	-0.006
420.20	-0.004
420.00	-0.004
419.80	-0.004
419.60	-0.005
419.40	-0.006
419.20	-0.004
419.00	-0.006
418.80	-0.004
418.60	-0.004
418.40	-0.006
418.20	-0.003
418.00	-0.005
417.80	-0.003
417.60	-0.004
417.40	-0.004
417.20	-0.002
417.00	-0.004
416.80	-0.004
416.60	-0.003
416.40	-0.004
416.20	-0.003
416.00	-0.004
415.80	-0.003
415.60	-0.003
415.40	-0.003
415.20	-0.001
415.00	-0.003
414.80	-0.003
414.60	-0.002
414.40	-0.003
414.20	-0.001
414.00	-0.002
413.80	-0.003
413.60	-0.002
413.40	-0.002
413.20	-0.002
413.00	-0.001
412.80	0.000
412.60	-0.001
412.40	0.000
412.20	-0.001
412.00	0.001
411.80	0.000
411.60	0.001
411.40	0.002
411.20	0.003
411.00	0.000
410.80	0.002
410.60	0.001
410.40	0.003
410.20	0.003
410.00	0.003
409.80	0.002
409.60	0.004
409.40	0.005
409.20	0.004
409.00	0.006
408.80	0.005
408.60	0.005
408.40	0.001
408.20	0.007
408.00	0.007
407.80	0.006
407.60	0.006
407.40	0.007
407.20	0.006
407.00	0.006
406.80	0.008
406.60	0.010
406.40	0.009
406.20	0.010
406.00	0.009
405.80	0.008
405.60	0.009
405.40	0.011
405.20	0.011
405.00	0.009
404.80	0.014
404.60	0.013
404.40	0.013
404.20	0.012
404.00	0.014
403.80	0.015
403.60	0.015
403.40	0.015
403.20	0.017
403.00	0.016
402.80	0.017
402.60	0.017
402.40	0.020
402.20	0.016
402.00	0.021
401.80	0.018
401.60	0.018
401.40	0.021
401.20	0.021
401.00	0.020
400.80	0.020
400.60	0.022
400.40	0.023
400.20	0.026
400.00	0.024
